experiment,fault,task,proposed,reference,episodes,proposed_rate,reference_rate,rate_difference,proposed_only_success,reference_only_success,mcnemar_exact_p,holm_adjusted_p
normal,,open_microwave,progress_only,dynamac_v4,200,0.985,0.985,0.0,0,0,1.0,1.0
normal,,open_microwave,progress_dynamic_roles,progress_only,200,0.905,0.985,-0.08,0,16,3.0517578125e-05,0.004852294921875
normal,,open_microwave,full,progress_dynamic_roles,200,0.975,0.905,0.07,16,2,0.001312255859375,0.192901611328125
normal,,open_microwave,full,dynamac_v4,200,0.975,0.985,-0.01,0,2,0.5,1.0
normal,,place_cups,progress_only,dynamac_v4,200,0.625,0.965,-0.34,1,69,1.2027867851011065e-19,2.2973227595431134e-17
normal,,place_cups,progress_dynamic_roles,progress_only,200,0.615,0.625,-0.01,18,20,0.8714146793645341,1.0
normal,,place_cups,full,progress_dynamic_roles,200,0.98,0.615,0.365,73,0,2.117582368135751e-22,4.0657581468206416e-20
normal,,place_cups,full,dynamac_v4,200,0.98,0.965,0.015,3,0,0.25,1.0
normal,,stack_wine,progress_only,dynamac_v4,200,1.0,1.0,0.0,0,0,1.0,1.0
normal,,stack_wine,progress_dynamic_roles,progress_only,200,1.0,1.0,0.0,0,0,1.0,1.0
normal,,stack_wine,full,progress_dynamic_roles,200,1.0,1.0,0.0,0,0,1.0,1.0
normal,,stack_wine,full,dynamac_v4,200,1.0,1.0,0.0,0,0,1.0,1.0
normal,,wipe_desk,progress_only,dynamac_v4,200,0.7,0.685,0.015,10,7,0.629058837890625,1.0
normal,,wipe_desk,progress_dynamic_roles,progress_only,200,0.72,0.7,0.02,6,2,0.2890625,1.0
normal,,wipe_desk,full,progress_dynamic_roles,200,0.725,0.72,0.005,5,4,1.0,1.0
normal,,wipe_desk,full,dynamac_v4,200,0.725,0.685,0.04,13,5,0.09625244140625,1.0
