trial_id,task,arm,demonstration,scenario,intervention,perturbed,frame,expected_relation,skill_index,anchor_local_index,horizon_ticks,baseline_detection,proposed_detection,proposed_detection_latency,proposed_recover_rate,proposed_defer_rate,proposed_block_rate,baseline_active_rate,proposed_mean_weight,proposed_final_relation,baseline_active_expert_suppressed
relation:bimanual_lift_tray/left:d2:break_link_control:tray,bimanual_lift_tray,left,2,break_link_control,break_link,0,tray,linked,2,11,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_lift_tray/left:d2:break_link_perturbed:tray,bimanual_lift_tray,left,2,break_link_perturbed,break_link,1,tray,linked,2,11,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_lift_tray/left:d2:false_coupling_control:tray,bimanual_lift_tray,left,2,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.999995617252218,external,0
relation:bimanual_lift_tray/left:d2:false_coupling_perturbed:tray,bimanual_lift_tray,left,2,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d3:break_link_control:tray,bimanual_lift_tray,left,3,break_link_control,break_link,0,tray,linked,2,12,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_lift_tray/left:d3:break_link_perturbed:tray,bimanual_lift_tray,left,3,break_link_perturbed,break_link,1,tray,linked,2,12,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_lift_tray/left:d3:false_coupling_control:tray,bimanual_lift_tray,left,3,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999956171606662,external,0
relation:bimanual_lift_tray/left:d3:false_coupling_perturbed:tray,bimanual_lift_tray,left,3,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/left:d4:break_link_control:tray,bimanual_lift_tray,left,4,break_link_control,break_link,0,tray,linked,2,9,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_lift_tray/left:d4:break_link_perturbed:tray,bimanual_lift_tray,left,4,break_link_perturbed,break_link,1,tray,linked,2,9,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_lift_tray/left:d4:false_coupling_control:tray,bimanual_lift_tray,left,4,false_coupling_control,false_coupling,0,tray,external,0,20,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172119729,external,0
relation:bimanual_lift_tray/left:d4:false_coupling_perturbed:tray,bimanual_lift_tray,left,4,false_coupling_perturbed,false_coupling,1,tray,external,0,20,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/right:d0:break_link_control:tray,bimanual_lift_tray,right,0,break_link_control,break_link,0,tray,linked,2,12,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_lift_tray/right:d0:break_link_perturbed:tray,bimanual_lift_tray,right,0,break_link_perturbed,break_link,1,tray,linked,2,12,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_lift_tray/right:d0:false_coupling_control:tray,bimanual_lift_tray,right,0,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999956173247025,external,0
relation:bimanual_lift_tray/right:d0:false_coupling_perturbed:tray,bimanual_lift_tray,right,0,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/right:d1:break_link_control:tray,bimanual_lift_tray,right,1,break_link_control,break_link,0,tray,linked,2,12,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_lift_tray/right:d1:break_link_perturbed:tray,bimanual_lift_tray,right,1,break_link_perturbed,break_link,1,tray,linked,2,12,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_lift_tray/right:d1:false_coupling_control:tray,bimanual_lift_tray,right,1,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999956170322024,external,0
relation:bimanual_lift_tray/right:d1:false_coupling_perturbed:tray,bimanual_lift_tray,right,1,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/right:d2:break_link_control:tray,bimanual_lift_tray,right,2,break_link_control,break_link,0,tray,linked,2,15,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
relation:bimanual_lift_tray/right:d2:break_link_perturbed:tray,bimanual_lift_tray,right,2,break_link_perturbed,break_link,1,tray,linked,2,15,12,0,1,0,1.0,0.0,1.0,0.0,0.0,external,0
relation:bimanual_lift_tray/right:d2:false_coupling_control:tray,bimanual_lift_tray,right,2,false_coupling_control,false_coupling,0,tray,external,0,9,12,0,0,,0.0,0.0,0.0,1.0,0.9999956172583495,external,0
relation:bimanual_lift_tray/right:d2:false_coupling_perturbed:tray,bimanual_lift_tray,right,2,false_coupling_perturbed,false_coupling,1,tray,external,0,9,12,0,1,0,1.0,0.0,1.0,1.0,0.0,linked,1
relation:bimanual_lift_tray/right:d3:break_link_control:tray,bimanual_lift_tray,right,3,break_link_control,break_link,0,tray,linked,2,14,12,0,0,,0.0,0.0,0.0,0.0,0.0,linked,0
